Frame 0 Data	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
Line 0	FFB3	FFAC	FFB4	FFAA	FFB3	FFAC	FFB6	FFA9	FFB2	FFA8	FFB4	FFA6	FFB1	FFA5	FFB4	FFA2	FFB4	FFA5	FFB4	FFA4	FFB6	FFA7	FFB5	FFA4	FFBA	FFA6	FFB8	FFA5	FFB6	FFAA	FFBD	FFA4
Line 1	FFA9	FFA8	FFA6	FFA8	FFA9	FFA6	FFA6	FFA5	FFAA	FFA2	FFA5	FFA2	FFA9	FF9F	FFA5	FFA1	FFAD	FFA0	FFA6	FFA2	FFAB	FFA3	FFA8	FFA4	FFB2	FFA2	FFAB	FFA3	FFB0	FFA4	FFAF	FFA3
Line 2	FFB2	FFAC	FFB4	FFAB	FFB1	FFAC	FFB1	FFA8	FFB1	FFA9	FFB3	FFA5	FFB2	FFA5	FFB1	FFA3	FFB5	FFA5	FFB1	FFA3	FFB6	FFA7	FFB5	FFA2	FFB8	FFA7	FFB7	FFA3	FFB6	FFA8	FFB9	FFA2
Line 3	FFA7	FFA7	FFA4	FFA7	FFA9	FFA5	FFA4	FFA6	FFA8	FFA3	FFA4	FFA2	FFAC	FF9F	FFA2	FFA3	FFAD	FFA0	FFA4	FFA2	FFAC	FFA2	FFA8	FFA1	FFB1	FFA3	FFA8	FFA3	FFAD	FFA1	FFAC	FFA1
Line 4	FFB3	FFAD	FFB5	FFA9	FFB2	FFAB	FFB2	FFA8	FFB4	FFA9	FFB1	FFA4	FFB1	FFA6	FFB3	FFA2	FFB5	FFA7	FFB2	FFA3	FFB2	FFA5	FFB4	FFA2	FFB6	FFA5	FFB8	FFA5	FFB4	FFA7	FFB9	FFA0
Line 5	FFAA	FFA5	FFA4	FFA6	FFAA	FFA4	FFA2	FFA4	FFA9	FFA1	FFA2	FFA3	FFAA	FFA1	FFA3	FFA0	FFAD	FF9F	FFA4	FFA3	FFAB	FFA0	FFA3	FFA1	FFAD	FF9E	FFA9	FFA1	FFAB	FFA0	FFAA	FF9D
Line 6	FFB0	FFAD	FFB2	FFAA	FFB2	FFAB	FFB3	FFA9	FFB8	FFAA	FFB6	FFA4	FFB2	FFA6	FFB1	FFA4	FFB2	FFA4	FFB2	FFA4	FFB2	FFA7	FFB5	FFA4	FFB2	FFA5	FFB4	FFA2	FFB4	FFA6	FFB9	FFA2
Line 7	FFA5	FFA4	FFA1	FFA4	FFA6	FFA0	FFA1	FFA3	FFA8	FFA7	FFA1	FFAA	FFA6	FFA1	FFA1	FFA1	FFA8	FF9D	FFA2	FF9F	FFA8	FF9F	FFA2	FF9F	FFAB	FF9E	FFA4	FFA0	FFAB	FF9F	FFA8	FF9B
Line 8	FFAF	FFAE	FFB3	FFA9	FFAF	FFAB	FFB4	FFA8	FFBB	FFAA	FFC6	FFA6	FFC0	FFA8	FFB6	FFA2	FFB0	FFA5	FFB1	FFA2	FFB3	FFA6	FFB2	FFA2	FFB4	FFA2	FFB4	FFA2	FFB4	FFA6	FFB7	FFA1
Line 9	FFA3	FFA2	FF9F	FFA1	FFA5	FFA2	FFA2	FFA4	FFAA	FFB2	FFA4	FFB4	FFA8	FFAD	FFA1	FFA6	FFA8	FF9D	FFA2	FF9D	FFAB	FF9D	FFA3	FF9F	FFAD	FF9C	FFA3	FF9F	FFAB	FF9D	FFA6	FF9C
Line 10	FFB3	FFAD	FFB3	FFA9	FFB4	FFAC	FFB5	FFA9	FFC8	FFAE	FFC8	FFAB	FFC9	FFAE	FFC2	FFA6	FFBD	FFA9	FFB5	FFA8	FFB2	FFAC	FFB0	FFA4	FFB3	FFA4	FFB2	FFA1	FFB2	FFA4	FFB4	FF9C
